Symbol,Date,Signal,RSI14,BreakoutStrength,ConfirmationScore
IGL,2026-09-17,False,43.88909485018844,-0.0678996980003429,0
IIFL,2026-09-17,False,43.0655754849315,-0.15382980454898054,0
IKS,2026-09-17,False,42.89289881530385,-0.07850971676329532,0
INDGN,2026-09-17,False,59.74911836753652,-0.03858651502843213,1
INDHOTEL,2026-09-17,False,52.56188814398922,-0.015245967783959924,2
INDIACEM,2026-09-17,False,42.11876646346734,-0.07325424978384387,1
INDIAMART,2026-09-17,False,38.31449476540267,-0.06326763314260564,1
INDIANB,2026-09-17,False,38.451824886999354,-0.07301203409702339,0
INDIGO,2026-09-17,False,37.216802120900034,-0.08238636363636365,0
INDUSINDBK,2026-09-17,False,38.25629073519976,-0.06242660253715138,1
INDUSTOWER,2026-09-17,False,50.7566008350005,-0.024305999364584774,1
INFY,2026-09-17,False,40.63570385783931,-0.08425607648275302,0
INOXINDIA,2026-09-17,False,46.124132574872995,-0.13879031894502025,0
INOXWIND,2026-09-17,False,46.286439220688116,-0.04816955778421206,0
INTELLECT,2026-09-17,False,30.770952952781826,-0.09093450108733647,0
IOB,2026-09-17,False,36.106776532609096,-0.04577886276660359,0
IOC,2026-09-17,False,42.41535379244031,-0.04874240114433892,0
IPCALAB,2026-09-17,False,61.35441563953019,-0.015588284372658023,2
IRB,2026-09-17,False,40.66822591411297,-0.08495145473755294,0
IRCON,2026-09-17,False,17.04901056549629,-0.15734374523162842,1
IRCTC,2026-09-17,False,28.722489795407824,-0.07676767676767682,0
IREDA,2026-09-17,False,31.85533124639919,-0.10029718992154091,0
IRFC,2026-09-17,False,23.164737959547452,-0.09152354196857249,0
ITC,2026-09-17,False,48.64801045175348,-0.02828983265072138,1
